CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/08/2022,19:40,BROOKLYN,11236,40.64574,-73.902985,"(40.64574, -73.902985)",,,1397      ROCKAWAY PARKWAY,2,0,0,0,0,0,2,0,Unspecified,,,,,4525890,Sedan,,,,
05/08/2022,3:55,,,40.85713,-73.8808,"(40.85713, -73.8808)",SOUTHERN BOULEVARD,,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,4525717,Sedan,,,,
05/08/2022,17:00,BROOKLYN,11236,40.638596,-73.9193,"(40.638596, -73.9193)",RALPH AVENUE,EAST 78 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4526231,Sedan,Sedan,,,
05/08/2022,2:20,BROOKLYN,11216,0,0,"(0.0, 0.0)",FULTON STREET,NOSTRAND AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4526375,Taxi,Sedan,,,
05/08/2022,11:16,,,0,0,"(0.0, 0.0)",WALKER STREET,MORNINGSTAR ROAD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4525743,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/08/2022,10:40,,,40.708294,-73.7385,"(40.708294, -73.7385)",SPRINGFIELD BOULEVARD,110 AVENUE,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Traffic Control Disregarded,,,,4525833,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/08/2022,15:37,BROOKLYN,11224,40.57557,-73.981224,"(40.57557, -73.981224)",SURF AVENUE,STILLWELL AVENUE,,0,0,0,0,0,0,0,0,Passenger Distraction,Unspecified,,,,4526598,Sedan,,,,
05/08/2022,16:00,BRONX,10466,40.886925,-73.85253,"(40.886925, -73.85253)",,,948       EAST 227 STREET,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4526624,Sedan,Sedan,,,
05/08/2022,6:50,,,,,,168 STREET,GRAND CENTRAL PARKWAY,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4525885,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/08/2022,18:36,BRONX,10460,40.850044,-73.88448,"(40.850044, -73.88448)",GARDEN STREET,PROSPECT AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4526081,Sedan,Moped,,,
